form_id,timestamp,type,number,block_name,link,sender
53,2024-12-01 14:41,seminar,10,,https://forms.gle/Zv6W2HAzU1wYE3AA9,Корнієнко Сергій
54,2024-12-01 15:06,seminar,8,,https://forms.gle/iqTWMhZobcmKPHQy9,Корнієнко Сергій
55,2024-12-01 15:06,seminar,8,,https://forms.gle/sqVdivyUPY1ET9uKA,Корнієнко Сергій
56,2024-12-01 15:06,seminar,8,,https://forms.gle/JGkhst9JX6kE5EgP6,Корнієнко Сергій
57,2024-12-01 15:06,seminar,8,,https://forms.gle/cadDH97rkLf5heAZ7,Корнієнко Сергій
58,2024-12-01 15:06,seminar,8,,https://forms.gle/PYYZxEH2K4fGbBNA9,Корнієнко Сергій
59,2024-12-01 15:39,modular_control,2,,https://forms.gle/Df22hhEWZwofU56e6,Корнієнко Сергій
60,2024-12-08 13:59,lecture_quiz,12,,https://forms.gle/gVRHJ4ua6UCDNPcQA,Корнієнко Сергій
61,2024-12-08 14:54,seminar,8,Частина 1,https://forms.gle/JhLsqiqdR8BRa2iN7,Корнієнко Сергій
62,2024-12-08 14:54,seminar,8,Частина 1,https://forms.gle/6Mxfrx7vpGF3CkNy9,Корнієнко Сергій
63,2024-12-08 14:54,seminar,8,Частина 1,https://forms.gle/iTDCS3gmWVdovfw99,Корнієнко Сергій
64,2024-12-08 14:54,seminar,8,Частина 1,https://forms.gle/GrSBgkbokV8N74em8,Корнієнко Сергій
65,2024-12-08 14:54,seminar,8,Частина 1,https://forms.gle/Hkh15HsXAb8cXGXW9,Корнієнко Сергій
66,2024-12-15 13:38,lecture_quiz,13,,https://forms.gle/fRSQFPn3nnRGvVf98,Корнієнко Сергій
67,2024-12-15 15:12,seminar,11,Chapter 1,https://forms.gle/czzHSZZuS89X1azD6,Корнієнко Сергій
68,2024-12-15 15:12,seminar,11,Chapter 1,https://forms.gle/y5BdEcg69tTz1RPs8,Корнієнко Сергій
69,2024-12-15 15:12,seminar,11,Chapter 1,https://forms.gle/M8q5Fiz4R1uPf8iA7,Корнієнко Сергій
70,2024-12-15 15:12,seminar,11,Chapter 1,https://forms.gle/TzcRKDSrNNWVRs4V8,Корнієнко Сергій
71,2024-12-15 15:12,seminar,11,Chapter 1,https://forms.gle/2WroTxk6QJKoH1Sr5,Корнієнко Сергій
72,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/k3ogxCsVd3xFehV18,Корнієнко Сергій
73,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/6xRPqxotZp25HZ3j6,Корнієнко Сергій
74,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/q2iaujFrp4PEhG6b7,Корнієнко Сергій
75,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/b8fBif1a6QgshogK6,Корнієнко Сергій
76,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/4YsTm7SUrqs33veb6,Корнієнко Сергій
77,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/2gocT22bTvphMuba9,Корнієнко Сергій
78,2024-12-22 15:03,seminar,12,1 % Семінар 12 %,https://forms.gle/x7M7r2uvf7kHt9iKA,Корнієнко Сергій
79,2024-12-29 15:15,seminar,13,,https://forms.gle/ZQB9R86PZAdFVX8f6,Корнієнко Сергій
80,2024-12-29 15:34,modular_control,3,,https://forms.gle/8jPpYidFFz7s1Wbe9,Корнієнко Сергій
81,2025-01-05 14:54,seminar,14,Part 1,https://forms.gle/W3i8MJH3WTYEboiS9,Корнієнко Сергій
82,2025-01-05 14:54,seminar,14,Part 1,https://forms.gle/9GUw2Xze8aUQHvG39,Корнієнко Сергій
83,2025-01-05 14:54,seminar,14,Part 1,https://forms.gle/nUpVRLtk6nkDHAFv6,Корнієнко Сергій
84,2025-01-05 14:54,seminar,14,Part 1,https://forms.gle/ymr3zoJwVvhMdzLD6,Корнієнко Сергій
85,2025-01-05 14:54,seminar,14,Part 1,https://forms.gle/dNbHzBjkgqYH9grT9,Корнієнко Сергій
86,2025-01-12 15:00,seminar,15,Частина 1,https://forms.gle/4911h5DTJayLna5p9,Корнієнко Сергій
87,2025-01-12 15:00,seminar,15,Частина 1,https://forms.gle/yDiEfEeh7jbtMXXf6,Корнієнко Сергій
88,2025-01-12 15:00,seminar,15,Частина 1,https://forms.gle/CfE55ZRAtE8gtRnQA,Корнієнко Сергій
89,2025-01-12 15:00,seminar,15,Частина 1,https://forms.gle/rwj5L34TymevgzJU8,Корнієнко Сергій
90,2025-01-19 14:03,seminar,16,1 % Семінар 16 %,https://forms.gle/gp7MAr1BRahUFYN86,Корнієнко Сергій
91,2025-01-19 14:03,seminar,16,1 % Семінар 16 %,https://forms.gle/Lzn7sYzzGjFQeAmi7,Корнієнко Сергій
92,2025-01-19 14:03,seminar,16,1 % Семінар 16 %,https://forms.gle/9g1PYS5kjJ2Z2A9k8,Корнієнко Сергій
93,2025-01-19 15:00,seminar,17,α % Семінар 17 %,https://forms.gle/KcgTu7V2eXpP5p8B9,Корнієнко Сергій
